,hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_units_of_measurement,drug_type_of_measurement,billing_class,setting,payer_category,payer_name,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
61,383300,62,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,cash,,,11842.81,,Capitation,Package,
62,383300,63,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,min,,,778.86,,Capitation,Package,
63,383300,64,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,max,,,778.86,,Capitation,Package,
65,383300,66,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,778.86,,Capitation,Package,
66,383300,67,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,gross,,,7552.6,,Capitation,Line,
67,383300,68,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,cash,,,7552.6,,Capitation,Line,
68,383300,69,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,min,,,2804.87,,Capitation,Line,
69,383300,70,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,max,,,2804.87,,Capitation,Line,
71,383300,72,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,2804.87,,Capitation,Line,
72,383300,73,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,gross,,,8299.68,,Capitation,Package,
73,383300,74,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,cash,,,8299.68,,Capitation,Package,
74,383300,75,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,min,,,2804.87,,Capitation,Package,
75,383300,76,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,max,,,2804.87,,Capitation,Package,
77,383300,78,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",,,,,,,11426,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,2804.87,,Capitation,Package,
78,383300,79,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,gross,,,8448.2,,Capitation,Line,
79,383300,80,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,cash,,,8448.2,,Capitation,Line,
80,383300,81,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,min,,,52.08,,Capitation,Line,
81,383300,82,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,max,,,52.08,,Capitation,Line,
83,383300,84,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,52.08,,Capitation,Line,
84,383300,85,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,gross,,,8966.8,,Capitation,Package,
85,383300,86,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,cash,,,8966.8,,Capitation,Package,
86,383300,87,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,min,,,52.08,,Capitation,Package,
87,383300,88,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,max,,,52.08,,Capitation,Package,
89,383300,90,CPT,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",,,,,,,11730,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,52.08,,Capitation,Package,
90,383300,91,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,gross,,,2997.13,,Capitation,Line,
91,383300,92,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,cash,,,2997.13,,Capitation,Line,
92,383300,93,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,min,,,50.73,,Capitation,Line,
93,383300,94,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,max,,,1105.34,,Capitation,Line,
95,383300,96,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,50.73,,Capitation,Line,
96,383300,97,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,Kaiser Foundation-Commercial other,,59.04,,Capitation,Line,
97,383300,98,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,MODA-Medicaid HMO,,160.55,,Capitation,Line,
98,383300,99,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,104.58,,Capitation,Line,
99,383300,100,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,1105.34,,Capitation,Line,
100,383300,101,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,578.6,,Capitation,Line,
101,383300,102,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,gross,,,2997.13,,Capitation,Package,
102,383300,103,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,cash,,,2997.13,,Capitation,Package,
103,383300,104,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,min,,,50.73,,Capitation,Package,
104,383300,105,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,max,,,1105.34,,Capitation,Package,
106,383300,107,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,50.73,,Capitation,Package,
107,383300,108,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,Kaiser Foundation-Commercial other,,59.04,,Capitation,Package,
108,383300,109,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,MODA-Medicaid HMO,,160.55,,Capitation,Package,
109,383300,110,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,104.58,,Capitation,Package,
110,383300,111,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,Providence-Commercial other,,1105.34,,Capitation,Package,
111,383300,112,CPT,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,,,,,,,11750,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,578.6,,Capitation,Package,
112,383300,113,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,gross,,,6880.64,,Capitation,Line,
113,383300,114,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,cash,,,6880.64,,Capitation,Line,
114,383300,115,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,min,,,76.23,,Capitation,Line,
115,383300,116,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,max,,,3652.85,,Capitation,Line,
117,383300,118,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,76.23,,Capitation,Line,
118,383300,119,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,3652.85,,Capitation,Line,
119,383300,120,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,payer,United Healthcare-Commercial HMO/POS,,992,,Capitation,Line,
120,383300,121,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,gross,,,7653.65,,Capitation,Package,
121,383300,122,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,cash,,,7653.65,,Capitation,Package,
122,383300,123,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,min,,,76.23,,Capitation,Package,
123,383300,124,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,max,,,3652.85,,Capitation,Package,
125,383300,126,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,76.23,,Capitation,Package,
126,383300,127,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,3652.85,,Capitation,Package,
127,383300,128,CPT,REPAIR OF FINGERNAIL OR TOENAIL BED,,,,,,,11760,,,,,,,,,,facility,outpatient,payer,United Healthcare-Commercial HMO/POS,,992,,Capitation,Package,
128,383300,129,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,gross,,,6204.1,,Capitation,Line,
129,383300,130,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,cash,,,6204.1,,Capitation,Line,
130,383300,131,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,min,,,1964.44,,Capitation,Line,
131,383300,132,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,max,,,1964.44,,Capitation,Line,
133,383300,134,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,1964.44,,Capitation,Line,
134,383300,135,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,gross,,,13196.8,,Capitation,Package,
135,383300,136,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,cash,,,13196.8,,Capitation,Package,
136,383300,137,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,min,,,1964.44,,Capitation,Package,
137,383300,138,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,max,,,1964.44,,Capitation,Package,
139,383300,140,CPT,INSERTION OF TISSUE EXPANDER,,,,,,,11960,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,1964.44,,Capitation,Package,
140,383300,141,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,gross,,,8226.85,,Capitation,Line,
141,383300,142,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,cash,,,8226.85,,Capitation,Line,
142,383300,143,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,min,,,4508.27,,Capitation,Line,
143,383300,144,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,max,,,4508.27,,Capitation,Line,
145,383300,146,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,4508.27,,Capitation,Line,
146,383300,147,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,gross,,,17228.44,,Capitation,Package,
147,383300,148,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,cash,,,17228.44,,Capitation,Package,
148,383300,149,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,min,,,4508.27,,Capitation,Package,
149,383300,150,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,max,,,4508.27,,Capitation,Package,
151,383300,152,CPT,REMOVAL OF TISSUE EXPANDER,,,,,,,11971,,,,,,,,,,facility,outpatient,payer,Aetna-Commercial HMO/POS,,4508.27,,Capitation,Package,
152,383300,153,CPT,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",,,,,,,14040,,,,,,,,,,facility,outpatient,gross,,,5887.33,,Capitation,Line,
153,383300,154,CPT,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",,,,,,,14040,,,,,,,,,,facility,outpatient,cash,,,5887.33,,Capitation,Line,
154,383300,155,CPT,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",,,,,,,14040,,,,,,,,,,facility,outpatient,min,,,435.3,,Capitation,Line,
155,383300,156,CPT,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",,,,,,,14040,,,,,,,,,,facility,outpatient,max,,,2275.49,,Capitation,Line,
157,383300,158,CPT,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",,,,,,,14040,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,435.3,,Capitation,Line,
