,Hospital,Procedure Code,HCPCS,Code Code,Procedure Name,Affiliation,Cost
43,Legacy Good Samaritan Medical Center,918,96132,CDM Revenue Code,HC NEUROPSYCH EVAL SERVICES (1ST HR),Normal Price,428
44,Legacy Good Samaritan Medical Center,918,96133,CDM Revenue Code,HC NEUROPSYCH EVAL SERVICES (ADDL HR),Normal Price,332
45,Legacy Good Samaritan Medical Center,918,96136,CDM Revenue Code,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),Normal Price,144
46,Legacy Good Samaritan Medical Center,918,96137,CDM Revenue Code,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),Normal Price,136
47,Legacy Good Samaritan Medical Center,918,96156,CDM Revenue Code,HC ASSESSMENT/RE-ASSESSMENT,Normal Price,211
48,Legacy Good Samaritan Medical Center,969,96112,CDM Revenue Code,HC PSY DEV TEST ADMIN (1ST HOUR),Normal Price,332
49,Legacy Good Samaritan Medical Center,969,96113,CDM Revenue Code,HC PSY DEV TEST ADMIT (ADDL 30 MIN),Normal Price,166
50,Legacy Good Samaritan Medical Center,969,96121,CDM Revenue Code,HC PSY NEUROBEHAV EXAM (ADDL HR),Normal Price,388
51,Legacy Good Samaritan Medical Center,969,96130,CDM Revenue Code,HC PSY EVAL SERVICES (1ST HR),Normal Price,388
52,Legacy Good Samaritan Medical Center,969,96131,CDM Revenue Code,HC PSY EVAL SERVICES (ADDL HR),Normal Price,388
53,Legacy Good Samaritan Medical Center,969,96132,CDM Revenue Code,HC PSY NEUROPSYCH EVAL SERVICES (1ST HR),Normal Price,388
54,Legacy Good Samaritan Medical Center,969,96133,CDM Revenue Code,HC PSY NEUROPSYCH EVAL SERVICES (ADDL HR),Normal Price,388
55,Legacy Good Samaritan Medical Center,969,96136,CDM Revenue Code,HC PSY NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),Normal Price,193
56,Legacy Good Samaritan Medical Center,969,96137,CDM Revenue Code,HC PSY NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),Normal Price,187
57,Legacy Good Samaritan Medical Center,969,96138,CDM Revenue Code,HC PSY NEUROPSYCH TEST TECH (1ST 30 MIN),Normal Price,138
58,Legacy Good Samaritan Medical Center,969,96139,CDM Revenue Code,HC PSY NEUROPSYCH TEST TECH (ADDL 30 MIN),Normal Price,138
59,Legacy Good Samaritan Medical Center,969,96156,CDM Revenue Code,HC PSY ASSESSMENT/RE-ASSESSMENT,Normal Price,298
60,Legacy Good Samaritan Medical Center,969,96158,CDM Revenue Code,HC PSY INTERVNTN INDIV F2F 1ST 30 MIN,Normal Price,231
61,Legacy Good Samaritan Medical Center,969,96159,CDM Revenue Code,HC PSY INTERVNTN INDIV EA ADDL 15 MIN,Normal Price,116
62,Legacy Good Samaritan Medical Center,969,96164,CDM Revenue Code,HC PSY INTERVNTN GROUP 1ST 30 MINN,Normal Price,124
63,Legacy Good Samaritan Medical Center,969,96165,CDM Revenue Code,HC PSY INTERVNTN GROUP EA  ADDL 15 MIN,Normal Price,62
64,Legacy Good Samaritan Medical Center,969,96167,CDM Revenue Code,HC PSY INTERVNTN FAM W/PT 1ST 30 MIN,Normal Price,231
65,Legacy Good Samaritan Medical Center,969,96168,CDM Revenue Code,HC PSY INTERVNTN FAM W/PT EA ADDL 15 MIN,Normal Price,116
66,Legacy Good Samaritan Medical Center,969,96170,CDM Revenue Code,HC PSY INTERVNTN FAM W/O PT 1ST 30 MIN,Normal Price,231
67,Legacy Good Samaritan Medical Center,969,96171,CDM Revenue Code,HC PSY INTERVNTN FAM W/O PT EA ADDL 15 MIN,Normal Price,116
68,Legacy Good Samaritan Medical Center,969,90832,CDM Revenue Code,HC PSY IND TREATMENT 30 MIN VV,Normal Price,246
69,Legacy Good Samaritan Medical Center,969,90834,CDM Revenue Code,HC PSY IND TREATMENT 45 MIN VV,Normal Price,270
70,Legacy Good Samaritan Medical Center,969,90837,CDM Revenue Code,HC PSY IND TREATMENT 60 MIN VV,Normal Price,403
71,Legacy Good Samaritan Medical Center,969,90839,CDM Revenue Code,HC PSY CRISIS TREATMENT FIRST 60 MIN VV,Normal Price,413
72,Legacy Good Samaritan Medical Center,969,90840,CDM Revenue Code,HC PSY CRISIS TREATMENT ADDL 30 MIN VV,Normal Price,212
73,Legacy Good Samaritan Medical Center,918,90791,CDM Revenue Code,HC DIAG INTERVIEW INTERM VV,Normal Price,376
74,Legacy Good Samaritan Medical Center,918,90832,CDM Revenue Code,HC IND TREATMENT 30 MIN VV,Normal Price,197
75,Legacy Good Samaritan Medical Center,918,90834,CDM Revenue Code,HC IND TREATMENT 45 MIN VV,Normal Price,268
76,Legacy Good Samaritan Medical Center,918,90837,CDM Revenue Code,HC IND TREATMENT 60 MIN VV,Normal Price,320
77,Legacy Good Samaritan Medical Center,918,96112,CDM Revenue Code,HC DEV TEST ADMIN (1ST HOUR) SLP,Normal Price,298
78,Legacy Good Samaritan Medical Center,918,96121,CDM Revenue Code,HC NEUROHEHAV EXAM (ADDL HR) VV,Normal Price,321
79,Legacy Good Samaritan Medical Center,918,96130,CDM Revenue Code,HC EVAL SERVICES (1ST HR) VV,Normal Price,310
80,Legacy Good Samaritan Medical Center,918,96131,CDM Revenue Code,HC EVAL SERVICES (ADDL HR) VV,Normal Price,207
81,Legacy Good Samaritan Medical Center,918,96132,CDM Revenue Code,HC NEUROPSYCH EVAL SERVICES (1ST HR) VV,Normal Price,428
82,Legacy Good Samaritan Medical Center,918,96133,CDM Revenue Code,HC NEUROPSYCH EVAL SERVICES (ADDL HR) VV,Normal Price,332
83,Legacy Good Samaritan Medical Center,918,96136,CDM Revenue Code,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN) VV,Normal Price,144
84,Legacy Good Samaritan Medical Center,918,96137,CDM Revenue Code,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN) VV,Normal Price,136
85,Legacy Good Samaritan Medical Center,918,96156,CDM Revenue Code,HC ASSESSMENT/RE-ASSESSMENT VV,Normal Price,211
86,Legacy Good Samaritan Medical Center,918,98966,CDM Revenue Code,HC NONPHYSICIAN TELEPHONE ASSESSMENT 5-10 MIN VV,Normal Price,48
87,Legacy Good Samaritan Medical Center,918,98967,CDM Revenue Code,HC NONPHYSICIAN TELEPHONE ASSESSMENT 11-20 MIN VV,Normal Price,89
88,Legacy Good Samaritan Medical Center,918,98968,CDM Revenue Code,HC NONPHYSICIAN TELEPHONE ASSESSMENT 21-30 MIN VV,Normal Price,128
89,Legacy Good Samaritan Medical Center,969,90791,CDM Revenue Code,HC PSY DIAG INTERVIEW INTERM VV,Normal Price,389
90,Legacy Good Samaritan Medical Center,969,96116,CDM Revenue Code,HC PSY NEUROBEHAV EXAM 60MIN VV,Normal Price,388
91,Legacy Good Samaritan Medical Center,969,96130,CDM Revenue Code,HC PSY EVAL SERVICES (1ST HR) VV,Normal Price,388
92,Legacy Good Samaritan Medical Center,969,96131,CDM Revenue Code,HC PSY EVAL SERVICES (ADDL HR) VV,Normal Price,388
93,Legacy Good Samaritan Medical Center,969,96132,CDM Revenue Code,HC PSY NEUROPSYCH EVAL SERVICES (1ST HR) VV,Normal Price,388
94,Legacy Good Samaritan Medical Center,969,96133,CDM Revenue Code,HC PSY NEUROPSYCH EVAL SERVICES (ADDL HR) VV,Normal Price,388
95,Legacy Good Samaritan Medical Center,969,96136,CDM Revenue Code,HC PSY NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN) VV,Normal Price,193
96,Legacy Good Samaritan Medical Center,969,96137,CDM Revenue Code,HC PSY NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN) VV,Normal Price,187
97,Legacy Good Samaritan Medical Center,969,96156,CDM Revenue Code,HC PSY ASSESSMENT/RE-ASSESSMENT VV,Normal Price,298
98,Legacy Good Samaritan Medical Center,969,96121,CDM Revenue Code,HC PSY NEUROBEHAV EXAM (ADDL HR) VV,Normal Price,388
99,Legacy Good Samaritan Medical Center,969,98966,CDM Revenue Code,HC PSY NONPHYSICIAN TELEPHONE ASSESSMENT 5-10 MIN VV,Normal Price,36
100,Legacy Good Samaritan Medical Center,969,98967,CDM Revenue Code,HC PSY NONPHYSICIAN TELEPHONE ASSESSMENT 11-20 MIN VV,Normal Price,72
101,Legacy Good Samaritan Medical Center,969,98968,CDM Revenue Code,HC PSY NONPHYSICIAN TELEPHONE ASSESSMENT 21-30 MIN VV,Normal Price,109
102,Legacy Good Samaritan Medical Center,940,-1,CDM Revenue Code,HC 2:1 NURSING CHARGE HOURLY,Normal Price,271
103,Legacy Good Samaritan Medical Center,761,-1,CDM Revenue Code,HC RM OP TREATMENT 1ST HOUR,Normal Price,293
104,Legacy Good Samaritan Medical Center,760,-1,CDM Revenue Code,HC RM OP TREATMENT ADDL HR,Normal Price,53
105,Legacy Good Samaritan Medical Center,760,-1,CDM Revenue Code,HC ROOM OP TREATMENT 30 MIN,Normal Price,311
106,Legacy Good Samaritan Medical Center,802,-1,CDM Revenue Code,HC PERITONEAL DIALYSIS MANUAL DLY ADULT,Normal Price,"2,003"
107,Legacy Good Samaritan Medical Center,480,92960,CDM Revenue Code,HC CARDIOVERSION PER EVENT,Normal Price,"1,518"
108,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC CHEST TUBE INSERTION,Normal Price,"3,526"
109,Legacy Good Samaritan Medical Center,840,-1,CDM Revenue Code,HC CAPD/CCPD CYCLER DAILY,Normal Price,"3,112"
110,Legacy Good Samaritan Medical Center,305,85347,CDM Revenue Code,HC ACTIVATED CLOTTING TIME,Normal Price,199
111,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC VENTRICULOSTOMY PROC ICU,Normal Price,"2,049"
112,Legacy Good Samaritan Medical Center,360,38241,CDM Revenue Code,HC AUTOLOGOUS TRANSPLANT OF STEM CELLS,Normal Price,"2,012"
113,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC PTCA SHEATH PULL,Normal Price,681
114,Legacy Good Samaritan Medical Center,480,92950,CDM Revenue Code,HC RESUSCITATION CARDIOPULM,Normal Price,"2,303"
115,Legacy Good Samaritan Medical Center,710,-1,CDM Revenue Code,HC RM M/S EXT STY EA ADDL HOUR,Normal Price,79
116,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - RADIOLOGY M/S&W,Normal Price,79
117,Legacy Good Samaritan Medical Center,762,G0379,CDM Revenue Code,HC DIRECT ADMIT TO OBSERVATION,Normal Price,626
118,Legacy Good Samaritan Medical Center,762,-1,CDM Revenue Code,HC RM M/S STO PER HR WO INT,Normal Price,79
119,Legacy Good Samaritan Medical Center,762,-1,CDM Revenue Code,HC RM ICU/TRM STO PER HR WO INT,Normal Price,271
120,Legacy Good Samaritan Medical Center,710,-1,CDM Revenue Code,HC ICVR PACU EXT STAY HOURLY,Normal Price,79
121,Legacy Good Samaritan Medical Center,762,-1,CDM Revenue Code,HC RM M/S STO PER HR WO INT COMPLEX DISCHARGE,Normal Price,79
122,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT ? THERAPY M/S&W,Normal Price,79
123,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - CATH LAB,Normal Price,79
124,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - CARDIOLOGY M/S&W,Normal Price,79
125,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - WOUND CARE M/S&W,Normal Price,79
126,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - HEMODIALYSIS M/S&W,Normal Price,79
127,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - EEG,Normal Price,79
128,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - BLOOD PRODUCTS M/S&W,Normal Price,79
129,Legacy Good Samaritan Medical Center,761,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - PROCEDURES,Normal Price,79
130,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - HYPERBARIC TREATMENT M/S&W,Normal Price,79
131,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - RADIOLOGY PEDS,Normal Price,196
132,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT ? THERAPY PEDS,Normal Price,196
133,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - CARDIOLOGY PEDS,Normal Price,196
134,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - HEMODIALYSIS PEDS,Normal Price,196
135,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - BLOOD PRODUCTS PEDS,Normal Price,196
136,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - HYPERBARIC TREATMENT PEDS,Normal Price,196
137,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - WOUND CARE PEDS,Normal Price,196
138,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - RADIOLOGY ICU,Normal Price,271
139,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT ? THERAPY ICU,Normal Price,271
140,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - CARDIOLOGY ICU,Normal Price,271
141,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - WOUND CARE ICU,Normal Price,271
142,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - HEMODIALYSIS ICU,Normal Price,271
143,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - BLOOD PRODUCTS ICU,Normal Price,271
144,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - HYPERBARIC TREATMENT ICU,Normal Price,271
145,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - MANUAL M/S&W,Normal Price,79
146,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - MANUAL/PEDS,Normal Price,196
147,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION CARVE-OUT - MANUAL ICU,Normal Price,271
148,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,HC OBSERVATION ICU CREDIT TO CARVE-OUT HOUR,Normal Price,271
149,Legacy Good Samaritan Medical Center,762,G0378,CDM Revenue Code,"HC OBSERVATION M/S&W,COMPLEX DISCH CREDIT TO CARVE-OUT HOUR",Normal Price,79
150,Legacy Good Samaritan Medical Center,762,-1,CDM Revenue Code,HC OBSERVATION PEDS CREDIT TO CARVE-OUT HOUR,Normal Price,196
151,Legacy Good Samaritan Medical Center,940,-1,CDM Revenue Code,HC SIMPLE BURN DRESSING CHANGE,Normal Price,172
152,Legacy Good Samaritan Medical Center,940,-1,CDM Revenue Code,HC COMPLEX BURN DRESSING CHANGE,Normal Price,644
153,Legacy Good Samaritan Medical Center,391,-1,CDM Revenue Code,HC MTP INITIATION,Normal Price,882
154,Legacy Good Samaritan Medical Center,391,-1,CDM Revenue Code,HC MTP INFUSION EA 15 MIN,Normal Price,182
155,Legacy Good Samaritan Medical Center,920,-1,CDM Revenue Code,HC MICRODIALYSIS DAILY PER LINE,Normal Price,866
156,Legacy Good Samaritan Medical Center,940,96372,CDM Revenue Code,HC DRUG INJ ONLY NONCHEMO W/O ASSESS,Normal Price,133
157,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC CVC INSERT CENTRAL/PICC,Normal Price,"2,313"
158,Legacy Good Samaritan Medical Center,391,36430,CDM Revenue Code,HC BLOOD PRODUCT TRANSFUSION,Normal Price,"1,247"
159,Legacy Good Samaritan Medical Center,761,51798,CDM Revenue Code,HC BLADDER SCAN US,Normal Price,160
160,Legacy Good Samaritan Medical Center,260,96360,CDM Revenue Code,HC HYDRATION ONLY 1ST HR,Normal Price,524
161,Legacy Good Samaritan Medical Center,260,96361,CDM Revenue Code,HC HYDRATION ONLY SUBSEQ HR,Normal Price,156
162,Legacy Good Samaritan Medical Center,260,96374,CDM Revenue Code,HC NONCHEMO IV PUSH FIRST,Normal Price,290
163,Legacy Good Samaritan Medical Center,260,96375,CDM Revenue Code,HC NONCHEMO IV PUSH EA NEW DRUG,Normal Price,243
164,Legacy Good Samaritan Medical Center,260,96365,CDM Revenue Code,HC NONCHEMO MED INF 1ST HR,Normal Price,516
165,Legacy Good Samaritan Medical Center,260,96367,CDM Revenue Code,HC NONCHEMO MED INF EA NEW DRUG 1ST HR,Normal Price,209
166,Legacy Good Samaritan Medical Center,260,96366,CDM Revenue Code,HC NONCHEMO MED INF ANY SUBSEQ HR,Normal Price,168
167,Legacy Good Samaritan Medical Center,260,96368,CDM Revenue Code,HC NONCHEMO MED INF CONCURRENT,Normal Price,183
168,Legacy Good Samaritan Medical Center,331,96401,CDM Revenue Code,HC CHEMO INJ IM/SQ NONHORMONAL,Normal Price,389
169,Legacy Good Samaritan Medical Center,331,96402,CDM Revenue Code,HC CHEMO INJ IM/SQ HORMONAL,Normal Price,280
170,Legacy Good Samaritan Medical Center,331,96409,CDM Revenue Code,HC CHEMO IVP 1ST MED,Normal Price,751
171,Legacy Good Samaritan Medical Center,331,96411,CDM Revenue Code,HC CHEMO IVP SUBSEQ MED,Normal Price,590
172,Legacy Good Samaritan Medical Center,335,96413,CDM Revenue Code,HC CHEMO INF 1ST MED 1ST HR,Normal Price,854
173,Legacy Good Samaritan Medical Center,335,96417,CDM Revenue Code,HC CHEMO INF SEQUENT MED 1ST HR,Normal Price,391
174,Legacy Good Samaritan Medical Center,335,96415,CDM Revenue Code,HC CHEMO INF ANY SUBSEQ HR,Normal Price,306
175,Legacy Good Samaritan Medical Center,331,96446,CDM Revenue Code,HC CHEMOTHERAPY ADMIN PERITONEAL CAVITY,Normal Price,962
176,Legacy Good Samaritan Medical Center,260,96376,CDM Revenue Code,HC NONCHEMO IV PUSH EA SUBS DOSE,Normal Price,123
177,Legacy Good Samaritan Medical Center,710,-1,CDM Revenue Code,HC NUR INF PER HOUR POST PROCEDURE,Normal Price,85
178,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC ARTERIAL LINE INSERTION,Normal Price,577
179,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC BIOPSY,Normal Price,517
180,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC DIALYSIS CATH INSERT,Normal Price,"1,295"
181,Legacy Good Samaritan Medical Center,360,16035,CDM Revenue Code,HC ESCHAROTOMY,Normal Price,"1,201"
182,Legacy Good Samaritan Medical Center,391,36455,CDM Revenue Code,HC EXCHANGE TRANSFUSION,Normal Price,693
183,Legacy Good Samaritan Medical Center,360,33967,CDM Revenue Code,HC IABP INSERTION,Normal Price,"3,174"
184,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC ICY CATH INSERT,Normal Price,977
185,Legacy Good Samaritan Medical Center,360,62270,CDM Revenue Code,HC LUMBAR PUNCTURE,Normal Price,"1,099"
186,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC PARACENTESIS,Normal Price,677
187,Legacy Good Samaritan Medical Center,481,93503,CDM Revenue Code,HC SWAN INSERT THERMODIL ONLY,Normal Price,"2,790"
188,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC OPEN CHEST PROCEDURE,Normal Price,"4,899"
189,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC BIOPSY BONE MARROW,Normal Price,426
190,Legacy Good Samaritan Medical Center,481,93503,CDM Revenue Code,HC SWAN INSERT OXY PACING,Normal Price,"3,433"
191,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC UNLISTED MED-SURG PROCEDURE,Normal Price,"1,484"
192,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC UNLISTED ICU PROCEDURE,Normal Price,"2,687"
193,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC INCISION AND DRAINAGE,Normal Price,519
194,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC PEG/GJ REPLACEMENT,Normal Price,494
195,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC BRONCHOSCOPY SEDATION CARE,Normal Price,244
196,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC UPPER GI SEDATION CARE,Normal Price,244
197,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC LOWER GI SEDATION CARE,Normal Price,244
198,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC TEE SEDATION CARE,Normal Price,244
199,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC LARYNGOSCOPY,Normal Price,274
200,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC TRANSVENOUS PACER INSERT,Normal Price,982
201,Legacy Good Samaritan Medical Center,360,59000,CDM Revenue Code,HC AMNIOCENTESIS DIAGNOSTIC,Normal Price,"1,111"
202,Legacy Good Samaritan Medical Center,360,59001,CDM Revenue Code,HC AMNIOCENTESIS THERAPEUTIC,Normal Price,"1,387"
203,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC THORACENTESIS/ASPIRATION,Normal Price,"1,648"
204,Legacy Good Samaritan Medical Center,360,-1,CDM Revenue Code,HC ARTHROCENTESIS,Normal Price,572
