,hospital_id,row_id,line_type,description,rev_code,local code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_unit_of_measurement,drug_type_of_measurement,billing_class,setting,payer_category,payer_name,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
45,Legacy Good Samaritan Medical Center,46,CDM,HC PSY PSYCH GROUP TX 60 MIN,969,1068030,,,,,90853,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
46,Legacy Good Samaritan Medical Center,47,CDM,HC PSY MISC PSYCH SERVICE,969,1068055,,,,,90899,,,,,,,,,,facility,both,gross,,,N/A,,Capitation,,
47,Legacy Good Samaritan Medical Center,48,CDM,HC PSY MISC PSYCH SERVICE,969,1068055,,,,,90899,,,,,,,,,,facility,both,cash,,,N/A,,Capitation,,
48,Legacy Good Samaritan Medical Center,49,CDM,HC PSY PSYCH GROUP TX 90 MINUTES,969,1068063,,,,,90853,,,,,,,,,,facility,both,gross,,,271,,Capitation,,
49,Legacy Good Samaritan Medical Center,50,CDM,HC PSY PSYCH GROUP TX 90 MINUTES,969,1068063,,,,,90853,,,,,,,,,,facility,both,cash,,,176.15,,Capitation,,
50,Legacy Good Samaritan Medical Center,51,CDM,HC DIAG INTERVIEW INTERM,918,1068071,,,,,90791,,,,,,,,,,facility,both,gross,,,376,,Capitation,,
51,Legacy Good Samaritan Medical Center,52,CDM,HC DIAG INTERVIEW INTERM,918,1068071,,,,,90791,,,,,,,,,,facility,both,cash,,,244.4,,Capitation,,
52,Legacy Good Samaritan Medical Center,53,CDM,HC IND TREATMENT 30 MIN,918,1068089,,,,,90832,,,,,,,,,,facility,both,gross,,,197,,Capitation,,
53,Legacy Good Samaritan Medical Center,54,CDM,HC IND TREATMENT 30 MIN,918,1068089,,,,,90832,,,,,,,,,,facility,both,cash,,,128.05,,Capitation,,
54,Legacy Good Samaritan Medical Center,55,CDM,HC IND TREATMENT 45 MIN,918,1068097,,,,,90834,,,,,,,,,,facility,both,gross,,,268,,Capitation,,
55,Legacy Good Samaritan Medical Center,56,CDM,HC IND TREATMENT 45 MIN,918,1068097,,,,,90834,,,,,,,,,,facility,both,cash,,,174.2,,Capitation,,
56,Legacy Good Samaritan Medical Center,57,CDM,HC IND TREATMENT 60 MIN,918,1068105,,,,,90837,,,,,,,,,,facility,both,gross,,,320,,Capitation,,
57,Legacy Good Samaritan Medical Center,58,CDM,HC IND TREATMENT 60 MIN,918,1068105,,,,,90837,,,,,,,,,,facility,both,cash,,,208,,Capitation,,
58,Legacy Good Samaritan Medical Center,59,CDM,HC PSY INTERACTIVE COMPLEXITY,969,1068188,,,,,90785,,,,,,,,,,facility,both,gross,,,10,,Capitation,,
59,Legacy Good Samaritan Medical Center,60,CDM,HC PSY INTERACTIVE COMPLEXITY,969,1068188,,,,,90785,,,,,,,,,,facility,both,cash,,,6.5,,Capitation,,
60,Legacy Good Samaritan Medical Center,61,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN,969,1068196,,,,,90839,,,,,,,,,,facility,both,gross,,,413,,Capitation,,
61,Legacy Good Samaritan Medical Center,62,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN,969,1068196,,,,,90839,,,,,,,,,,facility,both,cash,,,268.45,,Capitation,,
62,Legacy Good Samaritan Medical Center,63,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN,969,1068204,,,,,90840,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
63,Legacy Good Samaritan Medical Center,64,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN,969,1068204,,,,,90840,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
64,Legacy Good Samaritan Medical Center,65,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/PT OR FAM,969,1068378,,,,,99366,,,,,,,,,,facility,both,gross,,,156,,Capitation,,
65,Legacy Good Samaritan Medical Center,66,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/PT OR FAM,969,1068378,,,,,99366,,,,,,,,,,facility,both,cash,,,101.4,,Capitation,,
66,Legacy Good Samaritan Medical Center,67,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/O PT OR FAM,969,1068386,,,,,99368,,,,,,,,,,facility,both,gross,,,125,,Capitation,,
67,Legacy Good Samaritan Medical Center,68,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/O PT OR FAM,969,1068386,,,,,99368,,,,,,,,,,facility,both,cash,,,81.25,,Capitation,,
68,Legacy Good Samaritan Medical Center,69,CDM,HC PSY MULTI-FAMILY THERAPY 30 MIN,969,1068410,,,,,90849,,,,,,,,,,facility,both,gross,,,165,,Capitation,,
69,Legacy Good Samaritan Medical Center,70,CDM,HC PSY MULTI-FAMILY THERAPY 30 MIN,969,1068410,,,,,90849,,,,,,,,,,facility,both,cash,,,107.25,,Capitation,,
70,Legacy Good Samaritan Medical Center,71,CDM,HC PSY MULTI-FAMILY THERAPY 60 MIN,969,1068428,,,,,90849,,,,,,,,,,facility,both,gross,,,248,,Capitation,,
71,Legacy Good Samaritan Medical Center,72,CDM,HC PSY MULTI-FAMILY THERAPY 60 MIN,969,1068428,,,,,90849,,,,,,,,,,facility,both,cash,,,161.2,,Capitation,,
72,Legacy Good Samaritan Medical Center,73,CDM,HC PSY MULTI-FAMILY THERAPY 90 MIN,969,1068436,,,,,90849,,,,,,,,,,facility,both,gross,,,290,,Capitation,,
73,Legacy Good Samaritan Medical Center,74,CDM,HC PSY MULTI-FAMILY THERAPY 90 MIN,969,1068436,,,,,90849,,,,,,,,,,facility,both,cash,,,188.5,,Capitation,,
74,Legacy Good Samaritan Medical Center,75,CDM,HC PSY MULTI-FAMILY THERAPY 120 MIN,969,1068444,,,,,90849,,,,,,,,,,facility,both,gross,,,413,,Capitation,,
75,Legacy Good Samaritan Medical Center,76,CDM,HC PSY MULTI-FAMILY THERAPY 120 MIN,969,1068444,,,,,90849,,,,,,,,,,facility,both,cash,,,268.45,,Capitation,,
76,Legacy Good Samaritan Medical Center,77,CDM,HC DEV TEST ADMIN (1ST HOUR) NEURO,918,1068451,,,,,96112,,,,,,,,,,facility,both,gross,,,298,,Capitation,,
77,Legacy Good Samaritan Medical Center,78,CDM,HC DEV TEST ADMIN (1ST HOUR) NEURO,918,1068451,,,,,96112,,,,,,,,,,facility,both,cash,,,193.7,,Capitation,,
78,Legacy Good Samaritan Medical Center,79,CDM,HC NEUROBEHAV EXAM 60MIN,918,1068469,,,,,96116,,,,,,,,,,facility,both,gross,,,520,,Capitation,,
79,Legacy Good Samaritan Medical Center,80,CDM,HC NEUROBEHAV EXAM 60MIN,918,1068469,,,,,96116,,,,,,,,,,facility,both,cash,,,338,,Capitation,,
80,Legacy Good Samaritan Medical Center,81,CDM,HC NEUROHEHAV EXAM (ADDL HR),918,1068477,,,,,96121,,,,,,,,,,facility,both,gross,,,321,,Capitation,,
81,Legacy Good Samaritan Medical Center,82,CDM,HC NEUROHEHAV EXAM (ADDL HR),918,1068477,,,,,96121,,,,,,,,,,facility,both,cash,,,208.65,,Capitation,,
82,Legacy Good Samaritan Medical Center,83,CDM,HC EVAL SERVICES (1ST HR),918,1068485,,,,,96130,,,,,,,,,,facility,both,gross,,,310,,Capitation,,
83,Legacy Good Samaritan Medical Center,84,CDM,HC EVAL SERVICES (1ST HR),918,1068485,,,,,96130,,,,,,,,,,facility,both,cash,,,201.5,,Capitation,,
84,Legacy Good Samaritan Medical Center,85,CDM,HC EVAL SERVICES (ADDL HR),918,1068493,,,,,96131,,,,,,,,,,facility,both,gross,,,207,,Capitation,,
85,Legacy Good Samaritan Medical Center,86,CDM,HC EVAL SERVICES (ADDL HR),918,1068493,,,,,96131,,,,,,,,,,facility,both,cash,,,134.55,,Capitation,,
86,Legacy Good Samaritan Medical Center,87,CDM,HC NEUROPSYCH EVAL SERVICES (1ST HR),918,1068501,,,,,96132,,,,,,,,,,facility,both,gross,,,428,,Capitation,,
87,Legacy Good Samaritan Medical Center,88,CDM,HC NEUROPSYCH EVAL SERVICES (1ST HR),918,1068501,,,,,96132,,,,,,,,,,facility,both,cash,,,278.2,,Capitation,,
88,Legacy Good Samaritan Medical Center,89,CDM,HC NEUROPSYCH EVAL SERVICES (ADDL HR),918,1068519,,,,,96133,,,,,,,,,,facility,both,gross,,,332,,Capitation,,
89,Legacy Good Samaritan Medical Center,90,CDM,HC NEUROPSYCH EVAL SERVICES (ADDL HR),918,1068519,,,,,96133,,,,,,,,,,facility,both,cash,,,215.8,,Capitation,,
90,Legacy Good Samaritan Medical Center,91,CDM,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),918,1068527,,,,,96136,,,,,,,,,,facility,both,gross,,,144,,Capitation,,
91,Legacy Good Samaritan Medical Center,92,CDM,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),918,1068527,,,,,96136,,,,,,,,,,facility,both,cash,,,93.6,,Capitation,,
92,Legacy Good Samaritan Medical Center,93,CDM,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),918,1068535,,,,,96137,,,,,,,,,,facility,both,gross,,,136,,Capitation,,
93,Legacy Good Samaritan Medical Center,94,CDM,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),918,1068535,,,,,96137,,,,,,,,,,facility,both,cash,,,88.4,,Capitation,,
94,Legacy Good Samaritan Medical Center,95,CDM,HC ASSESSMENT/RE-ASSESSMENT,918,1068543,,,,,96156,,,,,,,,,,facility,both,gross,,,211,,Capitation,,
95,Legacy Good Samaritan Medical Center,96,CDM,HC ASSESSMENT/RE-ASSESSMENT,918,1068543,,,,,96156,,,,,,,,,,facility,both,cash,,,137.15,,Capitation,,
96,Legacy Good Samaritan Medical Center,97,CDM,HC PSY DEV TEST ADMIN (1ST HOUR),969,1068568,,,,,96112,,,,,,,,,,facility,both,gross,,,332,,Capitation,,
97,Legacy Good Samaritan Medical Center,98,CDM,HC PSY DEV TEST ADMIN (1ST HOUR),969,1068568,,,,,96112,,,,,,,,,,facility,both,cash,,,215.8,,Capitation,,
98,Legacy Good Samaritan Medical Center,99,CDM,HC PSY DEV TEST ADMIT (ADDL 30 MIN),969,1068576,,,,,96113,,,,,,,,,,facility,both,gross,,,166,,Capitation,,
99,Legacy Good Samaritan Medical Center,100,CDM,HC PSY DEV TEST ADMIT (ADDL 30 MIN),969,1068576,,,,,96113,,,,,,,,,,facility,both,cash,,,107.9,,Capitation,,
100,Legacy Good Samaritan Medical Center,101,CDM,HC PSY NEUROBEHAV EXAM (ADDL HR),969,1068584,,,,,96121,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
101,Legacy Good Samaritan Medical Center,102,CDM,HC PSY NEUROBEHAV EXAM (ADDL HR),969,1068584,,,,,96121,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
102,Legacy Good Samaritan Medical Center,103,CDM,HC PSY EVAL SERVICES (1ST HR),969,1068592,,,,,96130,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
103,Legacy Good Samaritan Medical Center,104,CDM,HC PSY EVAL SERVICES (1ST HR),969,1068592,,,,,96130,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
104,Legacy Good Samaritan Medical Center,105,CDM,HC PSY EVAL SERVICES (ADDL HR),969,1068600,,,,,96131,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
105,Legacy Good Samaritan Medical Center,106,CDM,HC PSY EVAL SERVICES (ADDL HR),969,1068600,,,,,96131,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
106,Legacy Good Samaritan Medical Center,107,CDM,HC PSY NEUROPSYCH EVAL SERVICES (1ST HR),969,1068618,,,,,96132,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
107,Legacy Good Samaritan Medical Center,108,CDM,HC PSY NEUROPSYCH EVAL SERVICES (1ST HR),969,1068618,,,,,96132,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
108,Legacy Good Samaritan Medical Center,109,CDM,HC PSY NEUROPSYCH EVAL SERVICES (ADDL HR),969,1068626,,,,,96133,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
109,Legacy Good Samaritan Medical Center,110,CDM,HC PSY NEUROPSYCH EVAL SERVICES (ADDL HR),969,1068626,,,,,96133,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
110,Legacy Good Samaritan Medical Center,111,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),969,1068634,,,,,96136,,,,,,,,,,facility,both,gross,,,193,,Capitation,,
111,Legacy Good Samaritan Medical Center,112,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),969,1068634,,,,,96136,,,,,,,,,,facility,both,cash,,,125.45,,Capitation,,
112,Legacy Good Samaritan Medical Center,113,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),969,1068642,,,,,96137,,,,,,,,,,facility,both,gross,,,187,,Capitation,,
113,Legacy Good Samaritan Medical Center,114,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),969,1068642,,,,,96137,,,,,,,,,,facility,both,cash,,,121.55,,Capitation,,
114,Legacy Good Samaritan Medical Center,115,CDM,HC PSY NEUROPSYCH TEST TECH (1ST 30 MIN),969,1068659,,,,,96138,,,,,,,,,,facility,both,gross,,,138,,Capitation,,
115,Legacy Good Samaritan Medical Center,116,CDM,HC PSY NEUROPSYCH TEST TECH (1ST 30 MIN),969,1068659,,,,,96138,,,,,,,,,,facility,both,cash,,,89.7,,Capitation,,
116,Legacy Good Samaritan Medical Center,117,CDM,HC PSY NEUROPSYCH TEST TECH (ADDL 30 MIN),969,1068667,,,,,96139,,,,,,,,,,facility,both,gross,,,138,,Capitation,,
117,Legacy Good Samaritan Medical Center,118,CDM,HC PSY NEUROPSYCH TEST TECH (ADDL 30 MIN),969,1068667,,,,,96139,,,,,,,,,,facility,both,cash,,,89.7,,Capitation,,
118,Legacy Good Samaritan Medical Center,119,CDM,HC PSY ASSESSMENT/RE-ASSESSMENT,969,1068675,,,,,96156,,,,,,,,,,facility,both,gross,,,298,,Capitation,,
119,Legacy Good Samaritan Medical Center,120,CDM,HC PSY ASSESSMENT/RE-ASSESSMENT,969,1068675,,,,,96156,,,,,,,,,,facility,both,cash,,,193.7,,Capitation,,
120,Legacy Good Samaritan Medical Center,121,CDM,HC PSY INTERVNTN INDIV F2F 1ST 30 MIN,969,1068683,,,,,96158,,,,,,,,,,facility,both,gross,,,231,,Capitation,,
121,Legacy Good Samaritan Medical Center,122,CDM,HC PSY INTERVNTN INDIV F2F 1ST 30 MIN,969,1068683,,,,,96158,,,,,,,,,,facility,both,cash,,,150.15,,Capitation,,
122,Legacy Good Samaritan Medical Center,123,CDM,HC PSY INTERVNTN INDIV EA ADDL 15 MIN,969,1068691,,,,,96159,,,,,,,,,,facility,both,gross,,,116,,Capitation,,
123,Legacy Good Samaritan Medical Center,124,CDM,HC PSY INTERVNTN INDIV EA ADDL 15 MIN,969,1068691,,,,,96159,,,,,,,,,,facility,both,cash,,,75.4,,Capitation,,
124,Legacy Good Samaritan Medical Center,125,CDM,HC PSY INTERVNTN GROUP 1ST 30 MINN,969,1068709,,,,,96164,,,,,,,,,,facility,both,gross,,,124,,Capitation,,
125,Legacy Good Samaritan Medical Center,126,CDM,HC PSY INTERVNTN GROUP 1ST 30 MINN,969,1068709,,,,,96164,,,,,,,,,,facility,both,cash,,,80.6,,Capitation,,
126,Legacy Good Samaritan Medical Center,127,CDM,HC PSY INTERVNTN GROUP EA  ADDL 15 MIN,969,1068717,,,,,96165,,,,,,,,,,facility,both,gross,,,62,,Capitation,,
127,Legacy Good Samaritan Medical Center,128,CDM,HC PSY INTERVNTN GROUP EA  ADDL 15 MIN,969,1068717,,,,,96165,,,,,,,,,,facility,both,cash,,,40.3,,Capitation,,
128,Legacy Good Samaritan Medical Center,129,CDM,HC PSY INTERVNTN FAM W/PT 1ST 30 MIN,969,1068725,,,,,96167,,,,,,,,,,facility,both,gross,,,231,,Capitation,,
129,Legacy Good Samaritan Medical Center,130,CDM,HC PSY INTERVNTN FAM W/PT 1ST 30 MIN,969,1068725,,,,,96167,,,,,,,,,,facility,both,cash,,,150.15,,Capitation,,
130,Legacy Good Samaritan Medical Center,131,CDM,HC PSY INTERVNTN FAM W/PT EA ADDL 15 MIN,969,1068733,,,,,96168,,,,,,,,,,facility,both,gross,,,116,,Capitation,,
131,Legacy Good Samaritan Medical Center,132,CDM,HC PSY INTERVNTN FAM W/PT EA ADDL 15 MIN,969,1068733,,,,,96168,,,,,,,,,,facility,both,cash,,,75.4,,Capitation,,
132,Legacy Good Samaritan Medical Center,133,CDM,HC PSY INTERVNTN FAM W/O PT 1ST 30 MIN,969,1068741,,,,,96170,,,,,,,,,,facility,both,gross,,,231,,Capitation,,
133,Legacy Good Samaritan Medical Center,134,CDM,HC PSY INTERVNTN FAM W/O PT 1ST 30 MIN,969,1068741,,,,,96170,,,,,,,,,,facility,both,cash,,,150.15,,Capitation,,
134,Legacy Good Samaritan Medical Center,135,CDM,HC PSY INTERVNTN FAM W/O PT EA ADDL 15 MIN,969,1068758,,,,,96171,,,,,,,,,,facility,both,gross,,,116,,Capitation,,
135,Legacy Good Samaritan Medical Center,136,CDM,HC PSY INTERVNTN FAM W/O PT EA ADDL 15 MIN,969,1068758,,,,,96171,,,,,,,,,,facility,both,cash,,,75.4,,Capitation,,
136,Legacy Good Samaritan Medical Center,137,CDM,HC PSY IND TREATMENT 30 MIN VV,969,1069004,,,,,90832,,,,,,,,,,facility,both,gross,,,246,,Capitation,,
137,Legacy Good Samaritan Medical Center,138,CDM,HC PSY IND TREATMENT 30 MIN VV,969,1069004,,,,,90832,,,,,,,,,,facility,both,cash,,,159.9,,Capitation,,
138,Legacy Good Samaritan Medical Center,139,CDM,HC PSY IND TREATMENT 45 MIN VV,969,1069012,,,,,90834,,,,,,,,,,facility,both,gross,,,270,,Capitation,,
139,Legacy Good Samaritan Medical Center,140,CDM,HC PSY IND TREATMENT 45 MIN VV,969,1069012,,,,,90834,,,,,,,,,,facility,both,cash,,,175.5,,Capitation,,
140,Legacy Good Samaritan Medical Center,141,CDM,HC PSY IND TREATMENT 60 MIN VV,969,1069020,,,,,90837,,,,,,,,,,facility,both,gross,,,403,,Capitation,,
141,Legacy Good Samaritan Medical Center,142,CDM,HC PSY IND TREATMENT 60 MIN VV,969,1069020,,,,,90837,,,,,,,,,,facility,both,cash,,,261.95,,Capitation,,
142,Legacy Good Samaritan Medical Center,143,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN VV,969,1069038,,,,,90839,,,,,,,,,,facility,both,gross,,,413,,Capitation,,
143,Legacy Good Samaritan Medical Center,144,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN VV,969,1069038,,,,,90839,,,,,,,,,,facility,both,cash,,,268.45,,Capitation,,
144,Legacy Good Samaritan Medical Center,145,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN VV,969,1069046,,,,,90840,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
145,Legacy Good Samaritan Medical Center,146,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN VV,969,1069046,,,,,90840,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
