,hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_unit_of_measurement,drug_type_of_measurement,billing_class,setting,payer_category,payer_name,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
26,38007,27,CDM,HC PSY CONJNT PSYCH TX 60MIN,900,1067917,,,,,90847,,,,,,,,,,facility,both,gross,,,371,,Capitation,,
27,38007,28,CDM,HC PSY CONJNT PSYCH TX 60MIN,900,1067917,,,,,90847,,,,,,,,,,facility,both,cash,,,241.15,,Capitation,,
28,38007,29,CDM,HC PSY CONSULT PSYCH 15 MIN,969,1067925,,,,,90887,,,,,,,,,,facility,both,gross,,,123,,Capitation,,
29,38007,30,CDM,HC PSY CONSULT PSYCH 15 MIN,969,1067925,,,,,90887,,,,,,,,,,facility,both,cash,,,79.95,,Capitation,,
30,38007,31,CDM,HC PSY CONSULT PSYCH 30 MIN,969,1067933,,,,,90887,,,,,,,,,,facility,both,gross,,,198,,Capitation,,
31,38007,32,CDM,HC PSY CONSULT PSYCH 30 MIN,969,1067933,,,,,90887,,,,,,,,,,facility,both,cash,,,128.7,,Capitation,,
32,38007,33,CDM,HC PSY CONF W/O PT,969,1067941,,,,,90887,,,,,,,,,,facility,both,gross,,,306,,Capitation,,
33,38007,34,CDM,HC PSY CONF W/O PT,969,1067941,,,,,90887,,,,,,,,,,facility,both,cash,,,198.9,,Capitation,,
34,38007,35,CDM,HC PSY CONF PSYCH 15 MIN,969,1067958,,,,,90887,,,,,,,,,,facility,both,gross,,,104,,Capitation,,
35,38007,36,CDM,HC PSY CONF PSYCH 15 MIN,969,1067958,,,,,90887,,,,,,,,,,facility,both,cash,,,67.6,,Capitation,,
36,38007,37,CDM,HC PSY CONF PSYCH 30 MIN,969,1067966,,,,,90887,,,,,,,,,,facility,both,gross,,,198,,Capitation,,
37,38007,38,CDM,HC PSY CONF PSYCH 30 MIN,969,1067966,,,,,90887,,,,,,,,,,facility,both,cash,,,128.7,,Capitation,,
38,38007,39,CDM,HC PSY CONF PSYCH 60 MIN,969,1067974,,,,,90887,,,,,,,,,,facility,both,gross,,,306,,Capitation,,
39,38007,40,CDM,HC PSY CONF PSYCH 60 MIN,969,1067974,,,,,90887,,,,,,,,,,facility,both,cash,,,198.9,,Capitation,,
40,38007,41,CDM,HC PSY RVW RECORDS PREP RPT,969,1067982,,,,,90889,,,,,,,,,,facility,both,gross,,,183,,Capitation,,
41,38007,42,CDM,HC PSY RVW RECORDS PREP RPT,969,1067982,,,,,90889,,,,,,,,,,facility,both,cash,,,118.95,,Capitation,,
42,38007,43,CDM,HC PSY DEVELOPMENT TEST LMTD,918,1067990,,,,,96110,,,,,,,,,,facility,both,gross,,,286,,Capitation,,
43,38007,44,CDM,HC PSY DEVELOPMENT TEST LMTD,918,1067990,,,,,96110,,,,,,,,,,facility,both,cash,,,185.9,,Capitation,,
44,38007,45,CDM,HC PSY PSYCH GROUP TX 30 MIN,969,1068022,,,,,90853,,,,,,,,,,facility,both,gross,,,108,,Capitation,,
45,38007,46,CDM,HC PSY PSYCH GROUP TX 30 MIN,969,1068022,,,,,90853,,,,,,,,,,facility,both,cash,,,70.2,,Capitation,,
46,38007,47,CDM,HC PSY PSYCH GROUP TX 60 MIN,969,1068030,,,,,90853,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
47,38007,48,CDM,HC PSY PSYCH GROUP TX 60 MIN,969,1068030,,,,,90853,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
48,38007,49,CDM,HC PSY MISC PSYCH SERVICE,969,1068055,,,,,90899,,,,,,,,,,facility,both,gross,,,N/A,,Capitation,,
49,38007,50,CDM,HC PSY MISC PSYCH SERVICE,969,1068055,,,,,90899,,,,,,,,,,facility,both,cash,,,N/A,,Capitation,,
50,38007,51,CDM,HC PSY PSYCH GROUP TX 90 MINUTES,969,1068063,,,,,90853,,,,,,,,,,facility,both,gross,,,271,,Capitation,,
51,38007,52,CDM,HC PSY PSYCH GROUP TX 90 MINUTES,969,1068063,,,,,90853,,,,,,,,,,facility,both,cash,,,176.15,,Capitation,,
52,38007,53,CDM,HC DIAG INTERVIEW INTERM,918,1068071,,,,,90791,,,,,,,,,,facility,both,gross,,,376,,Capitation,,
53,38007,54,CDM,HC DIAG INTERVIEW INTERM,918,1068071,,,,,90791,,,,,,,,,,facility,both,cash,,,244.4,,Capitation,,
54,38007,55,CDM,HC IND TREATMENT 30 MIN,918,1068089,,,,,90832,,,,,,,,,,facility,both,gross,,,197,,Capitation,,
55,38007,56,CDM,HC IND TREATMENT 30 MIN,918,1068089,,,,,90832,,,,,,,,,,facility,both,cash,,,128.05,,Capitation,,
56,38007,57,CDM,HC IND TREATMENT 45 MIN,918,1068097,,,,,90834,,,,,,,,,,facility,both,gross,,,268,,Capitation,,
57,38007,58,CDM,HC IND TREATMENT 45 MIN,918,1068097,,,,,90834,,,,,,,,,,facility,both,cash,,,174.2,,Capitation,,
58,38007,59,CDM,HC IND TREATMENT 60 MIN,918,1068105,,,,,90837,,,,,,,,,,facility,both,gross,,,320,,Capitation,,
59,38007,60,CDM,HC IND TREATMENT 60 MIN,918,1068105,,,,,90837,,,,,,,,,,facility,both,cash,,,208,,Capitation,,
60,38007,61,CDM,HC PSY INTERACTIVE COMPLEXITY,969,1068188,,,,,90785,,,,,,,,,,facility,both,gross,,,10,,Capitation,,
61,38007,62,CDM,HC PSY INTERACTIVE COMPLEXITY,969,1068188,,,,,90785,,,,,,,,,,facility,both,cash,,,6.5,,Capitation,,
62,38007,63,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN,969,1068196,,,,,90839,,,,,,,,,,facility,both,gross,,,413,,Capitation,,
63,38007,64,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN,969,1068196,,,,,90839,,,,,,,,,,facility,both,cash,,,268.45,,Capitation,,
64,38007,65,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN,969,1068204,,,,,90840,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
65,38007,66,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN,969,1068204,,,,,90840,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
66,38007,67,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/PT OR FAM,969,1068378,,,,,99366,,,,,,,,,,facility,both,gross,,,156,,Capitation,,
67,38007,68,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/PT OR FAM,969,1068378,,,,,99366,,,,,,,,,,facility,both,cash,,,101.4,,Capitation,,
68,38007,69,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/O PT OR FAM,969,1068386,,,,,99368,,,,,,,,,,facility,both,gross,,,125,,Capitation,,
69,38007,70,CDM,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/O PT OR FAM,969,1068386,,,,,99368,,,,,,,,,,facility,both,cash,,,81.25,,Capitation,,
70,38007,71,CDM,HC PSY MULTI-FAMILY THERAPY 30 MIN,969,1068410,,,,,90849,,,,,,,,,,facility,both,gross,,,165,,Capitation,,
71,38007,72,CDM,HC PSY MULTI-FAMILY THERAPY 30 MIN,969,1068410,,,,,90849,,,,,,,,,,facility,both,cash,,,107.25,,Capitation,,
72,38007,73,CDM,HC PSY MULTI-FAMILY THERAPY 60 MIN,969,1068428,,,,,90849,,,,,,,,,,facility,both,gross,,,248,,Capitation,,
73,38007,74,CDM,HC PSY MULTI-FAMILY THERAPY 60 MIN,969,1068428,,,,,90849,,,,,,,,,,facility,both,cash,,,161.2,,Capitation,,
74,38007,75,CDM,HC PSY MULTI-FAMILY THERAPY 90 MIN,969,1068436,,,,,90849,,,,,,,,,,facility,both,gross,,,290,,Capitation,,
75,38007,76,CDM,HC PSY MULTI-FAMILY THERAPY 90 MIN,969,1068436,,,,,90849,,,,,,,,,,facility,both,cash,,,188.5,,Capitation,,
76,38007,77,CDM,HC PSY MULTI-FAMILY THERAPY 120 MIN,969,1068444,,,,,90849,,,,,,,,,,facility,both,gross,,,413,,Capitation,,
77,38007,78,CDM,HC PSY MULTI-FAMILY THERAPY 120 MIN,969,1068444,,,,,90849,,,,,,,,,,facility,both,cash,,,268.45,,Capitation,,
78,38007,79,CDM,HC DEV TEST ADMIN (1ST HOUR) NEURO,918,1068451,,,,,96112,,,,,,,,,,facility,both,gross,,,298,,Capitation,,
79,38007,80,CDM,HC DEV TEST ADMIN (1ST HOUR) NEURO,918,1068451,,,,,96112,,,,,,,,,,facility,both,cash,,,193.7,,Capitation,,
80,38007,81,CDM,HC NEUROBEHAV EXAM 60MIN,918,1068469,,,,,96116,,,,,,,,,,facility,both,gross,,,520,,Capitation,,
81,38007,82,CDM,HC NEUROBEHAV EXAM 60MIN,918,1068469,,,,,96116,,,,,,,,,,facility,both,cash,,,338,,Capitation,,
82,38007,83,CDM,HC NEUROHEHAV EXAM (ADDL HR),918,1068477,,,,,96121,,,,,,,,,,facility,both,gross,,,321,,Capitation,,
83,38007,84,CDM,HC NEUROHEHAV EXAM (ADDL HR),918,1068477,,,,,96121,,,,,,,,,,facility,both,cash,,,208.65,,Capitation,,
84,38007,85,CDM,HC EVAL SERVICES (1ST HR),918,1068485,,,,,96130,,,,,,,,,,facility,both,gross,,,310,,Capitation,,
85,38007,86,CDM,HC EVAL SERVICES (1ST HR),918,1068485,,,,,96130,,,,,,,,,,facility,both,cash,,,201.5,,Capitation,,
86,38007,87,CDM,HC EVAL SERVICES (ADDL HR),918,1068493,,,,,96131,,,,,,,,,,facility,both,gross,,,207,,Capitation,,
87,38007,88,CDM,HC EVAL SERVICES (ADDL HR),918,1068493,,,,,96131,,,,,,,,,,facility,both,cash,,,134.55,,Capitation,,
88,38007,89,CDM,HC NEUROPSYCH EVAL SERVICES (1ST HR),918,1068501,,,,,96132,,,,,,,,,,facility,both,gross,,,428,,Capitation,,
89,38007,90,CDM,HC NEUROPSYCH EVAL SERVICES (1ST HR),918,1068501,,,,,96132,,,,,,,,,,facility,both,cash,,,278.2,,Capitation,,
90,38007,91,CDM,HC NEUROPSYCH EVAL SERVICES (ADDL HR),918,1068519,,,,,96133,,,,,,,,,,facility,both,gross,,,332,,Capitation,,
91,38007,92,CDM,HC NEUROPSYCH EVAL SERVICES (ADDL HR),918,1068519,,,,,96133,,,,,,,,,,facility,both,cash,,,215.8,,Capitation,,
92,38007,93,CDM,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),918,1068527,,,,,96136,,,,,,,,,,facility,both,gross,,,144,,Capitation,,
93,38007,94,CDM,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),918,1068527,,,,,96136,,,,,,,,,,facility,both,cash,,,93.6,,Capitation,,
94,38007,95,CDM,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),918,1068535,,,,,96137,,,,,,,,,,facility,both,gross,,,136,,Capitation,,
95,38007,96,CDM,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),918,1068535,,,,,96137,,,,,,,,,,facility,both,cash,,,88.4,,Capitation,,
96,38007,97,CDM,HC ASSESSMENT/RE-ASSESSMENT,918,1068543,,,,,96156,,,,,,,,,,facility,both,gross,,,211,,Capitation,,
97,38007,98,CDM,HC ASSESSMENT/RE-ASSESSMENT,918,1068543,,,,,96156,,,,,,,,,,facility,both,cash,,,137.15,,Capitation,,
98,38007,99,CDM,HC PSY DEV TEST ADMIN (1ST HOUR),969,1068568,,,,,96112,,,,,,,,,,facility,both,gross,,,332,,Capitation,,
99,38007,100,CDM,HC PSY DEV TEST ADMIN (1ST HOUR),969,1068568,,,,,96112,,,,,,,,,,facility,both,cash,,,215.8,,Capitation,,
100,38007,101,CDM,HC PSY DEV TEST ADMIT (ADDL 30 MIN),969,1068576,,,,,96113,,,,,,,,,,facility,both,gross,,,166,,Capitation,,
101,38007,102,CDM,HC PSY DEV TEST ADMIT (ADDL 30 MIN),969,1068576,,,,,96113,,,,,,,,,,facility,both,cash,,,107.9,,Capitation,,
102,38007,103,CDM,HC PSY NEUROBEHAV EXAM (ADDL HR),969,1068584,,,,,96121,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
103,38007,104,CDM,HC PSY NEUROBEHAV EXAM (ADDL HR),969,1068584,,,,,96121,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
104,38007,105,CDM,HC PSY EVAL SERVICES (1ST HR),969,1068592,,,,,96130,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
105,38007,106,CDM,HC PSY EVAL SERVICES (1ST HR),969,1068592,,,,,96130,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
106,38007,107,CDM,HC PSY EVAL SERVICES (ADDL HR),969,1068600,,,,,96131,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
107,38007,108,CDM,HC PSY EVAL SERVICES (ADDL HR),969,1068600,,,,,96131,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
108,38007,109,CDM,HC PSY NEUROPSYCH EVAL SERVICES (1ST HR),969,1068618,,,,,96132,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
109,38007,110,CDM,HC PSY NEUROPSYCH EVAL SERVICES (1ST HR),969,1068618,,,,,96132,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
110,38007,111,CDM,HC PSY NEUROPSYCH EVAL SERVICES (ADDL HR),969,1068626,,,,,96133,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
111,38007,112,CDM,HC PSY NEUROPSYCH EVAL SERVICES (ADDL HR),969,1068626,,,,,96133,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
112,38007,113,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),969,1068634,,,,,96136,,,,,,,,,,facility,both,gross,,,193,,Capitation,,
113,38007,114,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN),969,1068634,,,,,96136,,,,,,,,,,facility,both,cash,,,125.45,,Capitation,,
114,38007,115,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),969,1068642,,,,,96137,,,,,,,,,,facility,both,gross,,,187,,Capitation,,
115,38007,116,CDM,HC PSY NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN),969,1068642,,,,,96137,,,,,,,,,,facility,both,cash,,,121.55,,Capitation,,
116,38007,117,CDM,HC PSY NEUROPSYCH TEST TECH (1ST 30 MIN),969,1068659,,,,,96138,,,,,,,,,,facility,both,gross,,,138,,Capitation,,
117,38007,118,CDM,HC PSY NEUROPSYCH TEST TECH (1ST 30 MIN),969,1068659,,,,,96138,,,,,,,,,,facility,both,cash,,,89.7,,Capitation,,
118,38007,119,CDM,HC PSY NEUROPSYCH TEST TECH (ADDL 30 MIN),969,1068667,,,,,96139,,,,,,,,,,facility,both,gross,,,138,,Capitation,,
119,38007,120,CDM,HC PSY NEUROPSYCH TEST TECH (ADDL 30 MIN),969,1068667,,,,,96139,,,,,,,,,,facility,both,cash,,,89.7,,Capitation,,
120,38007,121,CDM,HC PSY ASSESSMENT/RE-ASSESSMENT,969,1068675,,,,,96156,,,,,,,,,,facility,both,gross,,,298,,Capitation,,
121,38007,122,CDM,HC PSY ASSESSMENT/RE-ASSESSMENT,969,1068675,,,,,96156,,,,,,,,,,facility,both,cash,,,193.7,,Capitation,,
122,38007,123,CDM,HC PSY INTERVNTN INDIV F2F 1ST 30 MIN,969,1068683,,,,,96158,,,,,,,,,,facility,both,gross,,,231,,Capitation,,
123,38007,124,CDM,HC PSY INTERVNTN INDIV F2F 1ST 30 MIN,969,1068683,,,,,96158,,,,,,,,,,facility,both,cash,,,150.15,,Capitation,,
124,38007,125,CDM,HC PSY INTERVNTN INDIV EA ADDL 15 MIN,969,1068691,,,,,96159,,,,,,,,,,facility,both,gross,,,116,,Capitation,,
125,38007,126,CDM,HC PSY INTERVNTN INDIV EA ADDL 15 MIN,969,1068691,,,,,96159,,,,,,,,,,facility,both,cash,,,75.4,,Capitation,,
126,38007,127,CDM,HC PSY INTERVNTN GROUP 1ST 30 MINN,969,1068709,,,,,96164,,,,,,,,,,facility,both,gross,,,124,,Capitation,,
127,38007,128,CDM,HC PSY INTERVNTN GROUP 1ST 30 MINN,969,1068709,,,,,96164,,,,,,,,,,facility,both,cash,,,80.6,,Capitation,,
128,38007,129,CDM,HC PSY INTERVNTN GROUP EA  ADDL 15 MIN,969,1068717,,,,,96165,,,,,,,,,,facility,both,gross,,,62,,Capitation,,
129,38007,130,CDM,HC PSY INTERVNTN GROUP EA  ADDL 15 MIN,969,1068717,,,,,96165,,,,,,,,,,facility,both,cash,,,40.3,,Capitation,,
130,38007,131,CDM,HC PSY INTERVNTN FAM W/PT 1ST 30 MIN,969,1068725,,,,,96167,,,,,,,,,,facility,both,gross,,,231,,Capitation,,
131,38007,132,CDM,HC PSY INTERVNTN FAM W/PT 1ST 30 MIN,969,1068725,,,,,96167,,,,,,,,,,facility,both,cash,,,150.15,,Capitation,,
132,38007,133,CDM,HC PSY INTERVNTN FAM W/PT EA ADDL 15 MIN,969,1068733,,,,,96168,,,,,,,,,,facility,both,gross,,,116,,Capitation,,
133,38007,134,CDM,HC PSY INTERVNTN FAM W/PT EA ADDL 15 MIN,969,1068733,,,,,96168,,,,,,,,,,facility,both,cash,,,75.4,,Capitation,,
134,38007,135,CDM,HC PSY INTERVNTN FAM W/O PT 1ST 30 MIN,969,1068741,,,,,96170,,,,,,,,,,facility,both,gross,,,231,,Capitation,,
135,38007,136,CDM,HC PSY INTERVNTN FAM W/O PT 1ST 30 MIN,969,1068741,,,,,96170,,,,,,,,,,facility,both,cash,,,150.15,,Capitation,,
136,38007,137,CDM,HC PSY INTERVNTN FAM W/O PT EA ADDL 15 MIN,969,1068758,,,,,96171,,,,,,,,,,facility,both,gross,,,116,,Capitation,,
137,38007,138,CDM,HC PSY INTERVNTN FAM W/O PT EA ADDL 15 MIN,969,1068758,,,,,96171,,,,,,,,,,facility,both,cash,,,75.4,,Capitation,,
138,38007,139,CDM,HC PSY IND TREATMENT 30 MIN VV,969,1069004,,,,,90832,,,,,,,,,,facility,both,gross,,,246,,Capitation,,
139,38007,140,CDM,HC PSY IND TREATMENT 30 MIN VV,969,1069004,,,,,90832,,,,,,,,,,facility,both,cash,,,159.9,,Capitation,,
140,38007,141,CDM,HC PSY IND TREATMENT 45 MIN VV,969,1069012,,,,,90834,,,,,,,,,,facility,both,gross,,,270,,Capitation,,
141,38007,142,CDM,HC PSY IND TREATMENT 45 MIN VV,969,1069012,,,,,90834,,,,,,,,,,facility,both,cash,,,175.5,,Capitation,,
142,38007,143,CDM,HC PSY IND TREATMENT 60 MIN VV,969,1069020,,,,,90837,,,,,,,,,,facility,both,gross,,,403,,Capitation,,
143,38007,144,CDM,HC PSY IND TREATMENT 60 MIN VV,969,1069020,,,,,90837,,,,,,,,,,facility,both,cash,,,261.95,,Capitation,,
144,38007,145,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN VV,969,1069038,,,,,90839,,,,,,,,,,facility,both,gross,,,413,,Capitation,,
145,38007,146,CDM,HC PSY CRISIS TREATMENT FIRST 60 MIN VV,969,1069038,,,,,90839,,,,,,,,,,facility,both,cash,,,268.45,,Capitation,,
146,38007,147,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN VV,969,1069046,,,,,90840,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
147,38007,148,CDM,HC PSY CRISIS TREATMENT ADDL 30 MIN VV,969,1069046,,,,,90840,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
148,38007,149,CDM,HC DIAG INTERVIEW INTERM VV,918,1069053,,,,,90791,,,,,,,,,,facility,both,gross,,,376,,Capitation,,
149,38007,150,CDM,HC DIAG INTERVIEW INTERM VV,918,1069053,,,,,90791,,,,,,,,,,facility,both,cash,,,244.4,,Capitation,,
150,38007,151,CDM,HC IND TREATMENT 30 MIN VV,918,1069061,,,,,90832,,,,,,,,,,facility,both,gross,,,197,,Capitation,,
151,38007,152,CDM,HC IND TREATMENT 30 MIN VV,918,1069061,,,,,90832,,,,,,,,,,facility,both,cash,,,128.05,,Capitation,,
152,38007,153,CDM,HC IND TREATMENT 45 MIN VV,918,1069079,,,,,90834,,,,,,,,,,facility,both,gross,,,268,,Capitation,,
153,38007,154,CDM,HC IND TREATMENT 45 MIN VV,918,1069079,,,,,90834,,,,,,,,,,facility,both,cash,,,174.2,,Capitation,,
154,38007,155,CDM,HC IND TREATMENT 60 MIN VV,918,1069087,,,,,90837,,,,,,,,,,facility,both,gross,,,320,,Capitation,,
155,38007,156,CDM,HC IND TREATMENT 60 MIN VV,918,1069087,,,,,90837,,,,,,,,,,facility,both,cash,,,208,,Capitation,,
156,38007,157,CDM,HC DEV TEST ADMIN (1ST HOUR) SLP,918,1069095,,,,,96112,,,,,,,,,,facility,both,gross,,,298,,Capitation,,
157,38007,158,CDM,HC DEV TEST ADMIN (1ST HOUR) SLP,918,1069095,,,,,96112,,,,,,,,,,facility,both,cash,,,193.7,,Capitation,,
158,38007,159,CDM,HC NEUROHEHAV EXAM (ADDL HR) VV,918,1069103,,,,,96121,,,,,,,,,,facility,both,gross,,,321,,Capitation,,
159,38007,160,CDM,HC NEUROHEHAV EXAM (ADDL HR) VV,918,1069103,,,,,96121,,,,,,,,,,facility,both,cash,,,208.65,,Capitation,,
160,38007,161,CDM,HC EVAL SERVICES (1ST HR) VV,918,1069111,,,,,96130,,,,,,,,,,facility,both,gross,,,310,,Capitation,,
161,38007,162,CDM,HC EVAL SERVICES (1ST HR) VV,918,1069111,,,,,96130,,,,,,,,,,facility,both,cash,,,201.5,,Capitation,,
162,38007,163,CDM,HC EVAL SERVICES (ADDL HR) VV,918,1069129,,,,,96131,,,,,,,,,,facility,both,gross,,,207,,Capitation,,
163,38007,164,CDM,HC EVAL SERVICES (ADDL HR) VV,918,1069129,,,,,96131,,,,,,,,,,facility,both,cash,,,134.55,,Capitation,,
164,38007,165,CDM,HC NEUROPSYCH EVAL SERVICES (1ST HR) VV,918,1069137,,,,,96132,,,,,,,,,,facility,both,gross,,,428,,Capitation,,
165,38007,166,CDM,HC NEUROPSYCH EVAL SERVICES (1ST HR) VV,918,1069137,,,,,96132,,,,,,,,,,facility,both,cash,,,278.2,,Capitation,,
166,38007,167,CDM,HC NEUROPSYCH EVAL SERVICES (ADDL HR) VV,918,1069145,,,,,96133,,,,,,,,,,facility,both,gross,,,332,,Capitation,,
167,38007,168,CDM,HC NEUROPSYCH EVAL SERVICES (ADDL HR) VV,918,1069145,,,,,96133,,,,,,,,,,facility,both,cash,,,215.8,,Capitation,,
168,38007,169,CDM,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN) VV,918,1069152,,,,,96136,,,,,,,,,,facility,both,gross,,,144,,Capitation,,
169,38007,170,CDM,HC NEUROPSYCH TEST PHD/PSYD (1ST 30 MIN) VV,918,1069152,,,,,96136,,,,,,,,,,facility,both,cash,,,93.6,,Capitation,,
170,38007,171,CDM,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN) VV,918,1069160,,,,,96137,,,,,,,,,,facility,both,gross,,,136,,Capitation,,
171,38007,172,CDM,HC NEUROPSYCH TEST PHD/PSYD (ADDL 30 MIN) VV,918,1069160,,,,,96137,,,,,,,,,,facility,both,cash,,,88.4,,Capitation,,
